num,tot_nodes,lf_nodes,unconn_nodes,stale_entries,tot_par_sw,elap_time,dao_sent,dao_rcvd,npdao_sent,npdao_rcvd,dco_sent,dco_rcvd,udp_sent,udp_rcvd
1,100,47,5,42,82,120,321,1834,0,0,79,310,156,152
2,100,44,5,61,95,160,392,2218,2,1,95,326,217,211
3,100,44,0,29,104,200,404,2327,3,1,101,333,276,268
4,100,43,0,29,107,239,419,2445,3,1,106,353,343,333
5,100,44,0,26,109,280,448,2601,3,1,108,358,405,397
6,100,42,23,154,114,319,459,2668,3,1,116,365,463,450
7,100,42,20,152,120,359,476,2796,3,1,134,393,527,512
8,100,43,12,119,122,399,487,2835,3,1,138,407,591,573
9,100,43,12,119,124,439,507,2937,3,1,140,411,658,639
10,100,43,8,110,127,479,536,3147,3,1,156,437,721,702
11,100,41,8,139,132,519,561,3276,3,1,164,456,765,735
12,100,45,4,149,152,558,605,3512,17,46,183,493,822,792
13,100,45,4,149,152,598,613,3559,17,47,184,494,887,855
14,100,45,3,133,153,638,623,3622,27,56,187,521,956,925
15,100,44,1,127,157,678,632,3677,29,58,188,521,1004,972
16,100,42,1,116,159,718,642,3755,43,76,192,539,1074,1038
17,100,41,1,85,160,759,656,3832,76,110,193,541,1139,1104
18,100,41,3,78,161,799,667,3894,88,121,193,541,1200,1161
19,100,41,2,74,161,839,687,4005,99,132,193,541,1247,1209
20,100,40,0,48,167,879,718,4185,114,142,200,564,1311,1269
21,100,41,0,47,168,920,733,4285,115,143,202,572,1367,1324
22,100,41,1,48,170,960,749,4376,122,150,202,572,1432,1389
23,100,42,4,67,174,1001,771,4491,123,151,207,601,1489,1446
24,100,43,3,61,176,1041,794,4652,124,152,209,608,1552,1508
25,100,42,0,29,178,1082,800,4710,136,165,212,623,1628,1583
26,100,42,0,25,178,1122,808,4762,147,180,212,623,1686,1639
27,100,42,1,11,178,1163,822,4826,159,192,212,623,1749,1702
28,100,42,1,6,178,1203,838,4925,163,196,212,623,1809,1762
29,100,42,1,6,178,1244,851,5005,163,196,212,623,1870,1821
30,100,40,1,8,181,1285,858,5063,163,196,215,633,1927,1881
31,100,41,1,8,182,1325,876,5168,164,197,216,639,1991,1940
32,100,41,0,7,182,1366,898,5320,165,198,216,639,2046,1997
33,100,40,0,9,185,1406,912,5417,167,199,222,655,2123,2065
34,100,43,1,22,189,1448,927,5525,167,199,226,671,2185,2126
35,100,43,0,15,190,1488,941,5589,168,200,226,671,2245,2186
36,100,44,19,95,191,1529,956,5669,168,200,230,679,2299,2241
37,100,44,19,98,192,1570,963,5706,169,201,231,680,2357,2298
38,100,44,17,88,193,1610,974,5781,169,201,233,685,2408,2350
39,100,44,15,77,193,1651,987,5867,172,204,237,693,2474,2416
40,100,44,9,65,193,1692,1013,6044,172,204,242,698,2533,2473
41,100,44,6,59,193,1732,1029,6166,172,204,246,702,2603,2544
42,100,44,3,53,193,1775,1039,6236,172,204,247,703,2662,2604
43,100,44,3,51,193,1815,1052,6300,175,210,247,710,2729,2671
44,100,44,2,46,194,1856,1069,6398,183,218,251,715,2785,2726
45,100,44,0,33,194,1897,1077,6449,185,220,251,715,2839,2780
46,100,44,0,29,194,1938,1086,6510,191,230,251,715,2908,2850
47,100,44,0,19,194,1980,1107,6629,198,239,251,715,2965,2906
48,100,44,0,10,194,2021,1122,6724,208,252,251,715,3029,2970
49,100,44,0,8,194,2062,1144,6877,210,255,251,715,3097,3039
50,100,44,0,3,194,2103,1154,6955,215,262,251,715,3158,3100
51,100,44,0,1,194,2144,1163,7017,216,263,251,715,3223,3166
52,100,44,0,0,194,2185,1179,7094,217,264,251,715,3277,3219
53,100,44,0,0,194,2226,1185,7131,217,264,251,715,3345,3288
54,100,44,0,0,194,2267,1195,7185,217,264,251,715,3417,3359
55,100,44,0,0,194,2309,1211,7277,217,264,251,715,3475,3418
56,100,44,6,36,195,2350,1228,7387,217,264,253,725,3542,3483
57,100,44,1,10,195,2391,1247,7517,217,264,256,736,3601,3540
58,100,44,1,10,195,2433,1263,7624,217,264,256,736,3671,3613
59,100,44,1,10,195,2474,1272,7680,217,264,256,736,3723,3666
60,100,44,1,10,195,2515,1286,7753,217,264,256,737,3789,3730
