num,tot_nodes,lf_nodes,unconn_nodes,stale_entries,tot_par_sw,elap_time,dao_sent,dao_rcvd,npdao_sent,npdao_rcvd,dco_sent,dco_rcvd,udp_sent,udp_rcvd
1,100,46,3,116,100,120,310,1760,164,505,0,0,140,137
2,100,45,17,206,124,160,363,2027,199,580,0,0,200,176
3,100,40,10,219,153,201,416,2367,253,679,0,0,255,229
4,100,39,9,199,154,240,436,2493,264,692,0,0,320,293
5,100,39,6,186,155,280,453,2589,270,703,0,0,379,354
6,100,38,50,367,161,320,467,2695,285,721,0,0,440,402
7,100,38,46,446,172,360,507,2923,292,734,0,0,514,475
8,100,39,39,430,173,399,515,2958,307,752,0,0,588,549
9,100,39,33,408,173,439,528,3038,315,760,0,0,654,615
10,100,39,22,387,173,479,544,3157,315,760,0,0,714,672
11,100,38,29,460,176,519,571,3296,318,762,0,0,765,721
12,100,39,13,428,177,558,596,3466,320,763,0,0,827,780
13,100,39,6,411,178,598,615,3602,321,763,0,0,876,827
14,100,40,4,363,179,638,622,3644,375,824,0,0,948,899
15,100,39,9,338,183,678,639,3756,444,893,0,0,996,943
16,100,41,12,340,185,718,647,3795,473,917,0,0,1051,998
17,100,41,11,286,186,758,659,3863,529,975,0,0,1122,1067
18,100,41,8,223,186,799,670,3934,578,1023,0,0,1173,1119
19,100,40,4,186,187,839,698,4077,613,1064,0,0,1230,1174
20,100,41,8,194,191,880,735,4313,650,1102,0,0,1294,1237
21,100,42,5,167,193,920,754,4419,665,1119,0,0,1365,1304
22,100,42,2,122,193,961,766,4496,714,1168,0,0,1441,1383
23,100,42,2,102,193,1002,780,4581,725,1180,0,0,1500,1440
24,100,42,0,87,194,1042,793,4685,726,1180,0,0,1565,1503
25,100,42,2,113,198,1084,812,4815,735,1187,0,0,1631,1563
26,100,42,1,96,200,1124,820,4875,761,1211,0,0,1678,1612
27,100,42,1,75,200,1165,836,4946,786,1241,0,0,1744,1677
28,100,42,1,54,200,1206,853,5052,798,1252,0,0,1805,1733
29,100,43,10,122,207,1247,882,5189,810,1261,0,0,1863,1789
30,100,41,4,113,214,1288,903,5343,822,1305,0,0,1926,1849
31,100,42,3,99,215,1329,920,5448,842,1331,0,0,1981,1906
32,100,41,2,86,216,1370,940,5600,846,1340,0,0,2046,1972
33,100,39,2,93,219,1411,957,5718,851,1347,0,0,2108,2031
34,100,39,2,88,219,1452,968,5788,855,1348,0,0,2173,2094
35,100,39,2,64,219,1493,978,5844,878,1371,0,0,2228,2149
36,100,38,4,76,220,1534,993,5944,895,1395,0,0,2290,2207
37,100,39,5,79,222,1575,1004,6010,901,1399,0,0,2350,2268
38,100,39,5,78,222,1616,1017,6083,904,1403,0,0,2407,2327
39,100,39,4,68,223,1657,1037,6220,911,1413,0,0,2468,2384
40,100,39,2,48,223,1699,1051,6307,925,1428,0,0,2533,2450
41,100,39,1,38,223,1740,1070,6438,932,1435,0,0,2603,2522
42,100,39,1,36,223,1781,1080,6504,934,1437,0,0,2664,2583
43,100,39,1,30,223,1822,1095,6592,942,1445,0,0,2717,2636
44,100,39,0,21,223,1863,1105,6670,943,1446,0,0,2780,2700
45,100,40,0,22,225,1905,1118,6762,945,1465,0,0,2841,2760
46,100,40,0,18,225,1946,1132,6844,950,1473,0,0,2905,2825
47,100,40,0,2,225,1987,1153,6971,967,1487,0,0,2967,2884
48,100,40,0,0,225,2029,1171,7090,967,1487,0,0,3020,2940
49,100,40,0,0,225,2070,1183,7170,967,1487,0,0,3098,3017
50,100,40,0,0,225,2112,1194,7250,967,1487,0,0,3170,3087
51,100,40,0,0,225,2153,1206,7328,967,1487,0,0,3237,3154
52,100,40,0,0,225,2195,1215,7406,967,1487,0,0,3295,3214
53,100,40,0,0,225,2236,1231,7497,967,1487,0,0,3360,3278
54,100,40,0,0,225,2278,1247,7592,967,1487,0,0,3424,3344
55,100,40,0,0,225,2319,1267,7717,967,1487,0,0,3481,3400
56,100,40,0,0,225,2361,1282,7837,967,1487,0,0,3545,3466
57,100,40,0,0,225,2402,1296,7904,967,1487,0,0,3602,3524
58,100,40,0,0,225,2444,1308,7982,967,1487,0,0,3652,3574
59,100,40,0,0,225,2486,1317,8029,967,1487,0,0,3704,3624
60,100,40,0,0,225,2527,1327,8100,967,1487,0,0,3777,3699
