num,tot_nodes,lf_nodes,unconn_nodes,stale_entries,tot_par_sw,elap_time,dao_sent,dao_rcvd,npdao_sent,npdao_rcvd,dco_sent,dco_rcvd,udp_sent,udp_rcvd
1,100,46,2,16,69,120,327,1907,0,0,64,234,145,142
2,100,44,8,68,73,160,359,2113,12,55,74,250,197,182
3,100,45,8,97,99,200,393,2278,19,69,90,285,260,237
4,100,44,2,58,100,240,409,2386,28,78,91,288,310,289
5,100,44,1,57,100,279,431,2503,29,79,91,288,372,351
6,100,43,28,182,106,319,441,2564,30,80,98,296,432,405
7,100,43,32,217,112,359,465,2688,61,146,121,325,497,468
8,100,43,32,201,113,399,476,2756,74,160,127,336,554,525
9,100,43,30,167,117,438,499,2896,95,185,130,344,623,594
10,100,43,26,167,117,478,519,3010,95,185,131,345,681,650
11,100,42,18,166,119,517,543,3140,100,190,133,345,735,700
12,100,42,11,166,121,557,566,3288,100,190,137,366,793,757
13,100,42,0,143,121,597,585,3428,100,190,141,368,845,807
14,100,42,1,147,123,637,595,3482,108,202,141,368,915,878
15,100,42,1,99,125,677,608,3567,150,240,143,378,964,922
16,100,43,19,203,130,717,625,3662,161,252,157,419,1027,983
17,100,45,13,158,135,757,650,3865,177,267,170,442,1096,1053
18,100,46,10,118,139,797,668,3967,201,290,176,457,1164,1119
19,100,45,11,123,142,838,701,4157,214,303,185,471,1220,1177
20,100,43,7,98,146,878,721,4289,226,314,191,478,1280,1232
21,100,43,8,105,146,918,742,4416,230,318,192,479,1347,1299
22,100,43,8,106,149,958,756,4493,230,318,194,491,1413,1362
23,100,43,6,92,151,998,767,4558,231,319,195,495,1470,1419
24,100,43,5,83,151,1039,783,4665,235,322,197,497,1533,1480
25,100,43,3,69,152,1079,793,4744,243,331,199,500,1596,1538
26,100,45,7,84,155,1120,806,4854,255,344,206,520,1658,1600
27,100,44,0,35,156,1160,828,4972,269,362,209,528,1732,1670
28,100,44,0,15,156,1201,840,5037,286,378,210,532,1796,1734
29,100,43,3,42,162,1242,865,5202,288,380,212,538,1858,1792
30,100,42,0,22,168,1283,888,5335,290,382,218,576,1928,1858
31,100,42,1,28,170,1323,897,5375,291,383,218,576,1995,1927
32,100,42,2,37,173,1364,911,5476,293,385,221,590,2054,1984
33,100,43,1,24,174,1405,921,5554,296,388,223,599,2118,2048
34,100,42,1,15,176,1445,935,5642,303,396,225,601,2175,2103
35,100,42,1,15,176,1486,948,5719,303,396,225,601,2239,2166
36,100,42,0,16,177,1527,961,5796,304,397,226,601,2293,2218
37,100,42,0,13,177,1568,978,5887,306,399,226,601,2352,2277
38,100,42,1,16,178,1609,996,6008,314,407,231,618,2404,2331
39,100,43,15,91,178,1650,1014,6115,314,407,234,621,2473,2399
40,100,43,11,81,178,1690,1029,6232,317,410,239,630,2531,2458
41,100,43,5,60,178,1731,1041,6330,323,416,242,635,2593,2520
42,100,43,5,57,178,1772,1051,6391,324,417,242,635,2662,2586
43,100,43,4,54,178,1813,1060,6448,325,418,243,636,2719,2646
44,100,43,3,52,178,1854,1071,6532,326,419,244,637,2780,2703
45,100,43,3,47,178,1895,1091,6648,330,425,245,639,2828,2755
46,100,43,1,40,178,1936,1106,6733,336,436,247,640,2887,2814
47,100,43,0,28,178,1977,1119,6801,345,448,247,640,2946,2872
48,100,43,0,18,178,2018,1133,6886,353,458,247,640,3005,2931
49,100,44,7,75,179,2059,1153,7050,358,463,251,655,3066,2988
50,100,44,6,72,179,2100,1163,7120,359,464,252,656,3127,3050
51,100,44,5,69,179,2141,1172,7192,361,467,255,659,3200,3122
52,100,44,2,63,179,2183,1183,7272,366,474,256,660,3261,3187
53,100,44,2,59,179,2224,1205,7403,368,477,256,660,3328,3253
54,100,44,1,49,179,2265,1219,7484,371,480,257,667,3390,3315
55,100,44,1,46,179,2307,1234,7564,374,486,257,667,3438,3363
56,100,44,0,45,179,2348,1250,7682,375,489,258,668,3505,3431
57,100,44,0,24,179,2390,1260,7754,395,508,258,668,3571,3496
58,100,44,0,12,179,2431,1275,7850,407,520,258,668,3636,3561
59,100,44,0,6,179,2472,1283,7900,413,526,258,668,3687,3613
60,100,44,0,6,179,2514,1291,7961,413,526,258,668,3754,3678
