num,tot_nodes,lf_nodes,unconn_nodes,stale_entries,tot_par_sw,elap_time,dao_sent,dao_rcvd,npdao_sent,npdao_rcvd,dco_sent,dco_rcvd,udp_sent,udp_rcvd
1,100,44,1,99,90,120,305,1733,175,452,0,0,136,133
2,100,40,43,346,118,160,390,2113,222,514,0,0,199,167
3,100,39,20,334,126,200,418,2304,228,547,0,0,247,216
4,100,39,13,296,126,240,434,2434,251,569,0,0,302,271
5,100,40,5,278,127,279,462,2611,256,581,0,0,366,333
6,100,40,4,276,127,319,465,2621,257,582,0,0,440,405
7,100,40,4,275,127,359,467,2626,257,582,0,0,491,454
8,100,39,3,276,128,399,479,2680,258,582,0,0,550,513
9,100,39,2,272,128,439,494,2779,258,582,0,0,605,568
10,100,38,1,275,130,479,515,2912,260,582,0,0,688,646
11,100,37,0,278,133,519,538,3070,263,600,0,0,744,702
12,100,37,0,279,134,559,564,3237,267,603,0,0,799,753
13,100,37,1,285,135,599,576,3303,268,603,0,0,857,810
14,100,41,4,243,139,639,590,3395,375,728,0,0,921,867
15,100,39,16,232,145,680,601,3462,475,835,0,0,983,934
16,100,40,9,158,146,720,612,3531,518,881,0,0,1060,1007
17,100,41,7,93,147,760,622,3575,560,925,0,0,1118,1065
18,100,41,4,74,148,800,639,3683,568,931,0,0,1180,1126
19,100,41,4,70,148,841,658,3805,568,931,0,0,1229,1175
20,100,40,1,51,149,881,687,3967,577,937,0,0,1288,1233
21,100,40,2,61,150,922,700,4028,579,938,0,0,1348,1292
22,100,40,2,61,150,962,703,4047,579,938,0,0,1405,1346
23,100,39,1,55,151,1003,723,4175,583,941,0,0,1463,1401
24,100,40,3,68,154,1043,741,4303,597,952,0,0,1527,1463
25,100,40,2,70,156,1084,755,4408,600,954,0,0,1592,1529
26,100,40,2,66,156,1125,764,4468,604,958,0,0,1646,1581
27,100,41,2,65,157,1165,780,4554,608,961,0,0,1708,1641
28,100,41,1,61,157,1206,805,4695,612,964,0,0,1758,1690
29,100,41,11,134,160,1246,820,4798,635,985,0,0,1820,1746
30,100,41,7,125,160,1287,825,4832,635,985,0,0,1877,1803
31,100,42,6,124,161,1328,838,4911,636,985,0,0,1947,1874
32,100,41,3,111,162,1368,848,4968,642,990,0,0,2009,1935
33,100,42,8,163,166,1409,864,5090,647,997,0,0,2085,2005
34,100,41,4,164,168,1450,882,5217,649,1002,0,0,2149,2063
35,100,41,4,155,169,1491,895,5277,658,1010,0,0,2209,2125
36,100,41,3,148,169,1532,913,5373,663,1014,0,0,2275,2191
37,100,41,3,142,169,1573,930,5482,672,1025,0,0,2349,2262
38,100,41,2,117,169,1614,936,5520,697,1049,0,0,2410,2325
39,100,41,2,98,170,1655,946,5590,733,1094,0,0,2464,2381
40,100,42,0,74,171,1696,965,5705,734,1103,0,0,2527,2440
41,100,42,0,66,171,1737,974,5774,747,1114,0,0,2580,2495
42,100,43,0,62,172,1778,999,5946,758,1134,0,0,2636,2553
43,100,43,0,43,172,1820,1015,6044,774,1150,0,0,2705,2617
44,100,43,0,18,172,1861,1024,6097,797,1173,0,0,2761,2676
45,100,43,0,18,172,1902,1035,6162,801,1180,0,0,2825,2741
46,100,43,0,11,172,1943,1044,6217,806,1182,0,0,2880,2797
47,100,43,0,4,172,1985,1052,6253,815,1191,0,0,2937,2853
48,100,43,0,0,172,2026,1072,6375,815,1191,0,0,3001,2916
49,100,43,0,0,172,2067,1091,6488,815,1191,0,0,3064,2979
50,100,43,0,0,172,2109,1114,6643,815,1191,0,0,3131,3046
51,100,43,0,0,172,2150,1126,6735,815,1191,0,0,3206,3121
52,100,43,0,0,172,2191,1135,6790,815,1191,0,0,3267,3183
53,100,43,0,0,172,2233,1145,6855,815,1191,0,0,3333,3250
54,100,43,0,0,172,2274,1156,6913,815,1191,0,0,3399,3317
55,100,43,0,10,173,2316,1165,6964,816,1202,0,0,3463,3379
56,100,43,0,10,173,2357,1185,7075,816,1202,0,0,3518,3436
57,100,43,0,0,173,2399,1204,7202,826,1212,0,0,3590,3508
58,100,43,0,0,173,2440,1224,7335,826,1212,0,0,3646,3564
59,100,43,0,0,173,2482,1236,7433,826,1212,0,0,3712,3628
60,100,43,0,0,173,2523,1245,7475,826,1212,0,0,3778,3695
