num,tot_nodes,lf_nodes,unconn_nodes,stale_entries,tot_par_sw,elap_time,dao_sent,dao_rcvd,npdao_sent,npdao_rcvd,dco_sent,dco_rcvd,udp_sent,udp_rcvd
1,100,43,3,40,100,121,314,1766,0,0,86,316,154,147
2,100,43,65,410,129,161,394,2138,14,11,123,368,213,186
3,100,42,52,380,151,201,446,2470,50,46,159,474,255,226
4,100,42,40,326,154,240,466,2582,51,47,165,486,314,280
5,100,41,27,274,164,280,508,2815,51,47,177,554,386,350
6,100,40,21,263,171,320,526,2905,51,47,184,567,434,397
7,100,39,20,267,172,360,536,2984,51,47,187,571,492,450
8,100,38,11,264,175,400,556,3113,52,51,190,575,547,505
9,100,38,8,268,176,440,569,3184,55,54,191,577,602,559
10,100,36,24,189,246,784,792,4354,316,343,286,799,1125,1049
11,100,37,15,129,262,839,823,4482,355,363,293,818,1209,1131
12,100,39,26,240,292,895,896,4876,389,408,325,912,1303,1207
13,100,38,15,185,305,950,933,5104,405,423,336,957,1389,1290
14,100,39,15,197,313,1006,960,5243,412,432,337,957,1479,1378
15,100,38,14,208,316,1061,978,5378,418,436,341,967,1571,1466
16,100,38,9,182,319,1116,993,5482,432,453,345,972,1658,1546
17,100,39,8,176,321,1171,1018,5641,448,466,346,975,1737,1623
18,100,41,18,233,328,1226,1037,5755,463,480,357,1006,1816,1693
19,100,41,5,159,333,1280,1070,5937,469,490,359,1009,1896,1771
20,100,42,6,136,336,1335,1098,6130,511,534,362,1016,1981,1852
21,100,42,4,88,337,1389,1107,6185,538,555,368,1036,2070,1934
22,100,42,53,227,363,1444,1160,6561,585,623,412,1173,2152,2011
23,100,43,40,170,371,1498,1186,6734,604,642,430,1224,2238,2092
24,100,43,29,144,375,1551,1201,6840,612,648,442,1252,2317,2169
25,100,43,17,127,378,1604,1218,6958,616,656,460,1286,2395,2244
26,100,41,24,163,381,1658,1244,7086,623,663,480,1316,2473,2322
27,100,41,15,137,381,1711,1261,7215,630,670,489,1324,2550,2399
28,100,41,11,114,381,1764,1284,7370,644,687,497,1334,2625,2471
29,100,41,5,94,381,1817,1304,7526,654,694,499,1336,2703,2549
30,100,41,2,63,381,1871,1312,7598,678,719,502,1339,2782,2628
31,100,42,2,43,381,1924,1322,7676,699,741,502,1339,2854,2699
32,100,42,1,26,381,1977,1347,7794,713,753,502,1339,2943,2786
33,100,42,1,16,381,2030,1363,7887,723,764,502,1339,3021,2865
34,100,42,1,8,382,2084,1383,8032,731,772,502,1339,3097,2944
35,100,42,1,2,382,2137,1406,8223,737,779,502,1339,3177,3024
36,100,42,1,2,382,2190,1416,8308,737,781,502,1339,3258,3101
37,100,42,1,0,382,2243,1426,8387,739,781,502,1339,3329,3175
38,100,42,1,0,382,2295,1444,8483,739,781,502,1339,3412,3254
39,100,43,2,7,386,2348,1469,8632,739,781,508,1393,3495,3340
40,100,44,1,0,388,2401,1491,8770,739,781,512,1425,3570,3416
41,100,44,3,14,392,2453,1511,8936,739,781,517,1477,3642,3487
42,100,44,1,0,393,2504,1526,9044,740,781,517,1477,3727,3570
43,100,44,1,0,393,2556,1533,9102,740,781,518,1482,3796,3639
44,100,44,1,0,394,2607,1547,9175,740,781,518,1482,3881,3724
45,100,44,1,0,394,2659,1566,9278,740,781,518,1482,3956,3796
46,100,45,1,0,396,2711,1593,9444,740,781,520,1497,4031,3875
47,100,45,1,0,396,2762,1618,9641,740,781,520,1502,4109,3950
48,100,45,1,0,397,2814,1626,9714,740,781,521,1506,4195,4036
49,100,45,1,0,398,2866,1637,9793,740,781,522,1506,4271,4110
50,100,45,1,0,398,2917,1651,9861,740,781,522,1506,4335,4178
51,100,45,1,0,398,2968,1665,9956,740,781,523,1510,4406,4244
52,100,46,1,0,399,3020,1695,10134,740,781,524,1514,4493,4331
53,100,46,1,0,399,3071,1719,10293,740,781,524,1514,4556,4393
54,100,46,1,0,399,3123,1736,10429,740,781,524,1514,4634,4470
55,100,46,1,0,399,3174,1752,10555,740,781,524,1514,4718,4555
56,100,46,1,0,399,3226,1761,10604,740,781,524,1514,4804,4638
57,100,46,1,0,400,3277,1775,10680,740,781,525,1522,4888,4725
58,100,46,1,0,401,3329,1796,10820,740,781,526,1528,4977,4813
59,100,46,1,0,401,3380,1814,10945,740,781,526,1528,5046,4882
60,100,46,1,0,401,3432,1831,11058,740,781,527,1536,5124,4957
