num,tot_nodes,lf_nodes,unconn_nodes,stale_entries,tot_par_sw,elap_time,dao_sent,dao_rcvd,npdao_sent,npdao_rcvd,dco_sent,dco_rcvd,udp_sent,udp_rcvd
1,100,47,0,52,112,121,332,1898,185,563,0,0,142,135
2,100,46,46,295,128,161,387,2210,218,606,0,0,201,178
3,100,46,21,228,137,200,416,2421,238,645,0,0,267,241
4,100,49,15,208,142,240,438,2605,260,708,0,0,327,303
5,100,49,0,165,143,280,483,2913,273,730,0,0,385,358
6,100,49,1,154,145,320,487,2941,293,753,0,0,439,409
7,100,50,3,169,148,360,494,2996,299,756,0,0,505,473
8,100,50,2,163,148,400,497,3011,299,756,0,0,563,527
9,100,50,2,163,148,440,508,3090,299,763,0,0,624,591
10,100,49,7,211,149,480,529,3195,300,763,0,0,688,655
11,100,47,28,341,153,520,563,3394,308,770,0,0,748,713
12,100,47,19,322,155,559,587,3567,314,785,0,0,790,755
13,100,48,8,278,158,599,610,3702,319,788,0,0,839,802
14,100,48,6,249,158,639,621,3769,351,821,0,0,903,866
15,100,48,5,208,160,679,632,3850,399,870,0,0,958,917
16,100,47,2,175,162,719,644,3940,425,890,0,0,1012,969
17,100,47,3,168,162,759,649,3958,432,898,0,0,1065,1021
18,100,47,2,148,163,799,666,4077,455,917,0,0,1131,1081
19,100,47,14,208,165,839,692,4227,481,951,0,0,1191,1143
20,100,47,7,127,172,880,716,4379,547,1015,0,0,1254,1200
21,100,48,4,120,176,920,737,4496,559,1026,0,0,1310,1254
22,100,48,3,92,176,960,755,4622,579,1046,0,0,1378,1318
23,100,48,3,89,176,1001,762,4670,580,1047,0,0,1435,1377
24,100,48,3,89,176,1042,767,4694,591,1058,0,0,1495,1436
25,100,47,3,83,178,1082,779,4749,600,1065,0,0,1558,1493
26,100,47,3,83,179,1123,793,4851,606,1070,0,0,1626,1561
27,100,48,1,62,180,1163,814,4994,627,1092,0,0,1684,1622
28,100,48,0,52,185,1204,831,5108,634,1122,0,0,1755,1688
29,100,48,44,298,207,1245,888,5440,661,1190,0,0,1807,1731
30,100,47,31,348,212,1286,920,5662,674,1218,0,0,1861,1785
31,100,47,22,292,212,1326,930,5743,709,1250,0,0,1926,1847
32,100,47,20,287,212,1367,936,5761,710,1251,0,0,1992,1910
33,100,46,20,265,214,1407,943,5802,728,1267,0,0,2059,1977
34,100,46,22,280,218,1448,958,5903,737,1281,0,0,2121,2038
35,100,46,16,250,218,1489,972,6000,755,1302,0,0,2183,2099
36,100,46,12,228,219,1530,982,6069,778,1330,0,0,2242,2159
37,100,46,6,190,219,1570,1006,6215,796,1348,0,0,2296,2213
38,100,46,2,162,219,1612,1025,6356,800,1353,0,0,2357,2273
39,100,46,1,160,219,1653,1043,6462,810,1362,0,0,2418,2333
40,100,46,1,152,219,1694,1048,6482,811,1365,0,0,2475,2392
41,100,46,1,139,219,1735,1064,6577,835,1388,0,0,2532,2449
42,100,46,0,111,219,1776,1083,6704,852,1405,0,0,2591,2506
43,100,46,0,85,219,1817,1094,6774,876,1435,0,0,2647,2564
44,100,46,0,16,219,1859,1105,6857,944,1501,0,0,2712,2627
45,100,46,0,0,219,1900,1122,6968,956,1513,0,0,2774,2691
46,100,46,0,0,219,1941,1134,7050,957,1515,0,0,2839,2757
47,100,45,28,65,220,1983,1160,7192,957,1515,0,0,2894,2812
48,100,45,24,60,220,2024,1171,7260,958,1516,0,0,2958,2876
49,100,45,19,55,220,2065,1184,7349,958,1516,0,0,3027,2946
50,100,45,16,52,220,2106,1204,7468,958,1516,0,0,3076,2994
51,100,45,13,49,220,2148,1217,7567,958,1516,0,0,3141,3058
52,100,45,11,47,220,2189,1229,7660,958,1516,0,0,3208,3122
53,100,45,4,37,220,2231,1244,7745,963,1521,0,0,3279,3196
54,100,45,1,31,220,2272,1256,7828,964,1522,0,0,3344,3260
55,100,45,0,29,220,2314,1277,7962,965,1523,0,0,3401,3317
56,100,45,0,24,220,2355,1290,8048,970,1528,0,0,3471,3384
57,100,45,0,21,220,2397,1303,8132,973,1531,0,0,3539,3452
58,100,45,7,75,225,2439,1322,8269,981,1574,0,0,3614,3528
59,100,45,3,67,228,2480,1342,8420,992,1609,0,0,3682,3597
60,100,44,1,40,228,2522,1356,8528,1015,1651,0,0,3736,3651
