num,tot_nodes,lf_nodes,unconn_nodes,stale_entries,tot_par_sw,elap_time,dao_sent,dao_rcvd,npdao_sent,npdao_rcvd,dco_sent,dco_rcvd,udp_sent,udp_rcvd
1,100,46,2,80,118,120,286,1562,205,528,0,0,154,151
2,100,46,2,77,120,160,315,1759,208,547,0,0,214,209
3,100,45,1,70,120,200,315,1759,210,549,0,0,272,266
4,100,45,1,64,120,240,317,1775,216,555,0,0,324,317
5,100,45,0,64,120,280,344,1963,216,555,0,0,394,389
6,100,43,15,174,124,320,357,2053,220,579,0,0,456,451
7,100,43,14,170,124,360,366,2115,227,588,0,0,511,507
8,100,43,11,147,124,400,387,2216,230,589,0,0,576,573
9,100,43,10,145,124,440,405,2305,230,589,0,0,645,643
10,100,43,3,123,125,480,428,2462,231,599,0,0,696,694
11,100,43,2,121,125,520,442,2549,231,599,0,0,756,750
12,100,43,1,111,125,560,456,2620,237,605,0,0,817,812
13,100,43,1,111,125,601,465,2684,237,605,0,0,878,873
14,100,43,0,70,125,641,481,2798,273,645,0,0,944,942
15,100,43,0,63,125,681,486,2829,280,648,0,0,1000,997
16,100,41,38,230,127,722,498,2890,283,657,0,0,1059,1058
17,100,41,35,194,127,762,512,2979,320,707,0,0,1126,1126
18,100,41,28,181,128,802,530,3080,326,708,0,0,1185,1187
19,100,41,24,171,128,842,547,3197,336,718,0,0,1251,1252
20,100,42,17,157,129,883,575,3347,357,744,0,0,1317,1318
21,100,42,13,153,129,923,595,3482,362,749,0,0,1374,1376
22,100,42,6,141,129,964,606,3564,362,749,0,0,1435,1438
23,100,42,2,128,129,1004,619,3649,371,758,0,0,1491,1493
24,100,42,1,109,129,1045,627,3683,391,779,0,0,1553,1554
25,100,42,1,88,129,1086,635,3730,409,800,0,0,1630,1631
26,100,42,1,69,129,1127,642,3790,425,816,0,0,1690,1692
27,100,42,1,62,129,1167,664,3929,435,824,0,0,1745,1749
28,100,42,0,52,129,1208,682,4014,453,843,0,0,1793,1797
29,100,42,0,24,129,1249,693,4081,472,871,0,0,1849,1851
30,100,41,11,108,131,1290,717,4249,477,883,0,0,1921,1920
31,100,41,10,97,131,1331,728,4316,487,891,0,0,1976,1976
32,100,41,10,87,131,1372,739,4381,497,902,0,0,2032,2035
33,100,41,9,86,131,1412,745,4420,497,902,0,0,2100,2103
34,100,41,9,86,131,1454,754,4489,502,907,0,0,2174,2172
35,100,42,5,80,132,1495,772,4583,503,912,0,0,2231,2233
36,100,43,18,136,133,1536,793,4697,519,930,0,0,2303,2303
37,100,43,15,129,133,1576,801,4759,522,933,0,0,2365,2367
38,100,43,11,110,133,1617,820,4895,534,945,0,0,2417,2420
39,100,43,5,104,133,1659,844,5037,534,945,0,0,2481,2482
40,100,43,3,98,133,1700,857,5111,538,949,0,0,2553,2556
41,100,43,3,90,133,1741,865,5184,546,958,0,0,2611,2612
42,100,43,3,70,133,1782,881,5271,566,977,0,0,2686,2687
43,100,43,1,59,133,1824,890,5325,577,988,0,0,2752,2749
44,100,43,1,41,133,1865,907,5433,602,1017,0,0,2808,2810
45,100,43,0,21,133,1906,917,5491,615,1028,0,0,2865,2866
46,100,43,0,15,133,1948,936,5619,622,1040,0,0,2932,2931
47,100,42,0,16,134,1990,963,5759,622,1040,0,0,3006,3004
48,100,42,0,12,134,2031,976,5854,626,1044,0,0,3062,3064
49,100,42,0,9,134,2072,991,5936,632,1050,0,0,3117,3116
50,100,42,0,2,134,2114,1008,6051,637,1056,0,0,3182,3182
51,100,42,0,1,134,2155,1012,6086,638,1063,0,0,3253,3255
52,100,41,1,13,135,2197,1027,6183,639,1064,0,0,3320,3322
53,100,41,1,10,135,2238,1037,6243,642,1067,0,0,3383,3381
54,100,41,0,6,135,2280,1054,6340,642,1067,0,0,3452,3452
55,100,41,0,6,135,2321,1070,6423,642,1067,0,0,3505,3506
56,100,41,0,6,135,2363,1086,6532,642,1067,0,0,3569,3570
57,100,41,0,6,135,2404,1097,6591,642,1067,0,0,3630,3630
58,100,41,0,6,135,2446,1115,6703,642,1067,0,0,3683,3684
59,100,41,0,6,135,2487,1120,6738,642,1067,0,0,3740,3741
60,100,41,0,6,135,2529,1133,6835,642,1067,0,0,3801,3800
