num,tot_nodes,lf_nodes,unconn_nodes,stale_entries,tot_par_sw,elap_time,dao_sent,dao_rcvd,npdao_sent,npdao_rcvd,dco_sent,dco_rcvd,udp_sent,udp_rcvd
1,100,45,2,24,87,120,291,1646,0,0,80,251,168,169
2,100,46,1,15,91,160,321,1818,0,0,88,288,221,222
3,100,45,1,15,95,200,327,1869,0,0,92,308,274,275
4,100,45,1,15,95,240,338,1942,0,0,92,308,325,324
5,100,44,1,15,96,280,360,2070,0,0,93,313,385,384
6,100,44,1,15,96,320,362,2078,0,0,93,313,436,436
7,100,44,1,15,96,360,366,2116,0,0,93,313,485,486
8,100,44,0,15,96,400,385,2251,0,0,93,313,546,548
9,100,44,0,15,96,440,409,2399,0,0,93,313,612,613
10,100,44,0,15,96,481,440,2574,0,0,93,313,677,678
11,100,44,0,15,96,521,462,2690,0,0,93,313,737,738
12,100,44,0,15,96,561,478,2802,0,0,93,313,797,795
13,100,44,0,15,96,601,485,2848,0,0,93,313,858,857
14,100,44,0,0,96,641,495,2917,15,15,93,313,930,930
15,100,44,0,0,96,681,499,2937,15,15,93,315,986,986
16,100,45,17,86,97,722,507,2986,15,15,98,324,1044,1045
17,100,45,15,77,97,762,519,3055,15,15,100,325,1108,1105
18,100,45,11,61,97,802,535,3170,15,15,105,330,1166,1166
19,100,45,7,44,97,843,566,3343,15,15,109,336,1227,1228
20,100,45,6,39,97,883,579,3407,15,15,110,337,1288,1287
21,100,45,3,27,97,924,606,3543,15,15,112,339,1345,1344
22,100,45,1,19,97,964,628,3680,16,16,114,341,1409,1410
23,100,45,1,18,97,1005,639,3737,17,17,114,341,1457,1456
24,100,45,0,12,97,1045,657,3868,18,18,115,342,1522,1521
25,100,45,0,7,97,1087,663,3912,23,23,115,342,1585,1587
26,100,45,0,7,97,1128,677,4026,23,24,115,342,1647,1650
27,100,45,0,4,97,1169,692,4119,26,26,115,342,1714,1712
28,100,45,0,2,97,1210,705,4203,28,28,115,342,1777,1780
29,100,45,0,1,97,1250,717,4251,29,29,115,342,1841,1843
30,100,45,0,0,97,1291,734,4343,30,30,115,342,1914,1915
31,100,45,0,0,97,1332,750,4449,30,30,115,342,1978,1977
32,100,45,0,0,97,1373,764,4551,30,30,115,342,2044,2044
33,100,45,0,0,97,1414,770,4579,30,30,115,342,2112,2114
34,100,45,0,0,97,1455,780,4654,30,30,115,342,2183,2186
35,100,45,0,0,97,1496,796,4762,30,30,115,342,2251,2255
36,100,45,0,0,97,1537,810,4853,30,30,115,342,2323,2325
37,100,45,0,0,97,1578,826,4925,30,30,115,342,2386,2388
38,100,45,0,0,97,1619,840,5004,30,30,115,342,2443,2447
39,100,45,0,0,97,1660,858,5118,30,30,115,342,2502,2504
40,100,45,0,0,97,1701,871,5215,30,30,115,342,2553,2557
41,100,45,0,0,97,1742,879,5265,30,30,115,342,2608,2611
42,100,45,0,0,97,1783,888,5324,30,30,115,342,2669,2671
43,100,45,0,0,97,1824,901,5418,30,30,115,342,2732,2733
44,100,45,0,0,97,1865,913,5508,30,30,115,342,2790,2793
45,100,45,0,0,97,1906,928,5583,30,30,115,342,2842,2846
46,100,45,0,0,97,1947,943,5695,30,30,115,342,2907,2909
47,100,45,0,0,97,1988,961,5768,30,30,115,342,2975,2975
48,100,45,0,0,97,2030,982,5900,30,30,115,342,3041,3044
49,100,45,0,0,97,2071,990,5947,30,30,115,342,3100,3102
50,100,45,0,0,97,2112,998,6010,30,30,115,342,3155,3157
51,100,45,0,0,97,2153,1004,6056,30,30,115,342,3212,3215
52,100,45,0,0,97,2195,1019,6151,30,30,115,342,3275,3277
53,100,45,0,0,97,2236,1029,6215,30,30,115,342,3336,3339
54,100,45,0,0,97,2278,1046,6310,30,30,115,342,3405,3404
55,100,45,0,0,97,2319,1069,6425,30,30,115,342,3462,3463
56,100,45,0,0,97,2361,1083,6522,30,30,115,342,3520,3523
57,100,45,0,0,97,2402,1088,6545,30,30,115,342,3604,3604
58,100,45,0,0,97,2444,1097,6625,30,30,115,342,3655,3655
59,100,45,0,0,97,2485,1108,6698,30,30,115,342,3705,3707
60,100,45,2,12,98,2526,1123,6800,30,30,117,346,3777,3777
