num,tot_nodes,lf_nodes,unconn_nodes,stale_entries,tot_par_sw,elap_time,dao_sent,dao_rcvd,npdao_sent,npdao_rcvd,dco_sent,dco_rcvd,udp_sent,udp_rcvd
1,100,43,0,63,92,121,358,2004,165,458,0,0,155,154
2,100,43,0,35,92,161,375,2090,186,479,0,0,223,224
3,100,43,0,30,92,201,376,2097,186,479,0,0,275,275
4,100,43,0,30,92,241,377,2097,186,479,0,0,331,332
5,100,43,0,30,92,281,411,2243,186,479,0,0,393,393
6,100,43,0,30,92,321,412,2247,186,479,0,0,444,445
7,100,43,0,30,92,361,416,2278,186,479,0,0,504,505
8,100,43,0,30,92,401,443,2477,186,479,0,0,566,568
9,100,43,0,30,92,441,476,2687,186,479,0,0,627,631
10,100,43,0,30,92,481,499,2839,186,479,0,0,688,691
11,100,43,0,30,92,522,528,2995,186,479,0,0,763,765
12,100,43,0,30,92,562,546,3121,186,479,0,0,820,824
13,100,43,0,30,92,602,553,3163,186,479,0,0,885,886
14,100,43,0,5,92,642,559,3193,211,504,0,0,939,943
15,100,43,0,0,92,682,561,3219,216,509,0,0,990,994
16,100,43,0,0,92,723,570,3271,216,509,0,0,1065,1068
17,100,43,0,0,92,763,583,3352,216,509,0,0,1121,1126
18,100,43,7,22,93,804,604,3482,217,512,0,0,1181,1186
19,100,43,5,18,93,844,633,3657,217,512,0,0,1240,1243
20,100,44,3,18,96,884,666,3854,221,538,0,0,1310,1313
21,100,44,0,12,96,925,678,3934,223,543,0,0,1355,1358
22,100,43,0,12,98,965,693,4029,228,560,0,0,1418,1422
23,100,43,0,8,98,1006,714,4159,233,565,0,0,1475,1477
24,100,43,0,7,98,1046,718,4214,233,565,0,0,1536,1538
25,100,43,0,7,98,1087,728,4256,233,565,0,0,1592,1592
26,100,43,0,4,98,1127,736,4310,236,568,0,0,1644,1646
27,100,43,0,2,98,1168,755,4428,238,570,0,0,1700,1704
28,100,43,0,2,98,1208,774,4540,238,570,0,0,1760,1763
29,100,43,0,2,98,1249,785,4598,238,570,0,0,1819,1821
30,100,43,0,2,98,1290,806,4726,238,570,0,0,1874,1878
31,100,43,0,2,98,1331,817,4800,238,570,0,0,1938,1944
32,100,43,0,2,98,1371,826,4868,240,572,0,0,1998,2004
33,100,43,0,0,98,1412,834,4912,240,572,0,0,2059,2062
34,100,43,0,0,98,1453,842,4966,240,572,0,0,2127,2130
35,100,43,0,0,98,1494,857,5062,240,572,0,0,2199,2204
36,100,43,0,0,98,1535,872,5145,240,572,0,0,2270,2274
37,100,43,0,0,98,1576,886,5248,240,572,0,0,2331,2335
38,100,43,0,0,98,1618,907,5363,240,572,0,0,2382,2386
39,100,43,0,0,98,1659,923,5459,240,572,0,0,2441,2446
40,100,43,0,0,98,1700,932,5522,240,572,0,0,2502,2508
41,100,43,12,60,99,1741,946,5608,241,577,0,0,2573,2576
42,100,43,8,56,99,1783,957,5674,241,577,0,0,2642,2646
43,100,42,19,131,100,1824,970,5766,246,587,0,0,2705,2708
44,100,42,13,117,100,1865,988,5876,248,589,0,0,2768,2771
45,100,42,13,117,100,1906,997,5930,248,589,0,0,2831,2837
46,100,42,9,110,100,1947,1023,6097,248,589,0,0,2888,2892
47,100,42,5,94,100,1988,1045,6212,248,589,0,0,2951,2952
48,100,42,4,82,100,2029,1055,6284,256,598,0,0,3007,3013
49,100,42,1,70,100,2070,1066,6370,260,602,0,0,3066,3071
50,100,42,0,52,100,2112,1075,6415,274,615,0,0,3121,3125
51,100,42,0,44,100,2153,1085,6478,282,625,0,0,3172,3178
52,100,42,0,34,100,2194,1098,6569,288,629,0,0,3235,3240
53,100,42,0,26,100,2235,1109,6637,296,636,0,0,3299,3303
54,100,42,0,14,100,2277,1132,6772,310,653,0,0,3355,3359
55,100,42,0,6,100,2319,1148,6874,316,658,0,0,3418,3424
56,100,42,0,0,100,2360,1161,6947,322,664,0,0,3467,3472
57,100,42,0,0,100,2402,1173,7026,322,664,0,0,3524,3527
58,100,42,0,0,100,2443,1181,7085,322,664,0,0,3578,3584
59,100,42,0,0,100,2485,1190,7137,322,664,0,0,3638,3642
60,100,42,0,0,100,2526,1204,7237,322,664,0,0,3706,3712
