num,tot_nodes,lf_nodes,unconn_nodes,stale_entries,tot_par_sw,elap_time,dao_sent,dao_rcvd,npdao_sent,npdao_rcvd,dco_sent,dco_rcvd,udp_sent,udp_rcvd
1,100,46,1,22,64,120,251,1330,0,0,38,121,168,167
2,100,46,1,17,65,160,269,1422,0,0,39,127,228,227
3,100,46,1,17,66,200,278,1499,0,0,42,133,283,283
4,100,47,2,24,68,240,289,1564,0,0,46,143,352,352
5,100,48,4,40,71,280,332,1826,0,0,53,160,409,410
6,100,49,3,33,72,320,335,1848,0,0,54,162,450,451
7,100,49,1,17,72,360,346,1937,0,0,59,178,509,509
8,100,48,0,7,74,400,360,2026,0,0,61,180,575,572
9,100,47,1,16,77,440,387,2186,0,0,65,189,641,641
10,100,47,0,7,78,480,407,2313,0,0,66,192,700,701
11,100,48,0,7,79,520,441,2486,0,0,68,196,751,751
12,100,48,0,7,79,560,451,2564,0,0,68,196,811,810
13,100,48,0,7,79,601,461,2636,0,0,68,196,869,867
14,100,48,0,2,79,641,470,2700,5,7,68,196,925,924
15,100,48,0,2,79,681,471,2707,7,9,68,196,986,987
16,100,48,0,0,79,722,475,2727,7,9,68,196,1049,1048
17,100,48,0,0,79,762,487,2795,7,9,68,196,1115,1115
18,100,48,0,0,79,802,506,2923,7,9,68,196,1178,1179
19,100,48,0,0,79,843,545,3143,7,9,68,196,1243,1237
20,100,48,0,0,79,884,567,3269,7,9,68,196,1298,1299
21,100,48,0,0,79,924,578,3333,7,9,68,196,1368,1368
22,100,48,0,0,79,965,592,3419,7,9,68,196,1424,1421
23,100,48,0,0,79,1005,602,3486,7,9,68,196,1482,1480
24,100,48,0,0,79,1046,612,3539,7,9,68,196,1554,1552
25,100,48,10,61,81,1087,625,3637,7,9,72,208,1621,1619
26,100,47,16,91,93,1127,662,3907,7,9,101,293,1679,1679
27,100,47,13,77,93,1168,678,4001,7,9,105,297,1744,1742
28,100,45,8,57,99,1208,698,4145,7,9,111,306,1803,1801
29,100,45,7,52,99,1249,710,4211,7,9,111,306,1856,1855
30,100,45,6,48,99,1289,716,4246,7,9,112,307,1920,1919
31,100,45,6,48,99,1330,722,4283,7,9,113,308,1973,1973
32,100,45,4,40,99,1371,731,4346,7,10,115,310,2033,2031
33,100,45,2,29,99,1412,742,4421,11,13,116,311,2096,2096
34,100,45,1,12,99,1453,764,4554,23,25,118,313,2158,2157
35,100,45,0,8,99,1494,776,4627,23,25,118,313,2220,2219
36,100,45,0,7,99,1535,799,4782,24,26,118,313,2286,2287
37,100,45,0,7,99,1576,811,4853,24,26,118,313,2350,2347
38,100,45,0,5,99,1617,819,4903,26,28,118,313,2416,2417
39,100,45,0,2,99,1659,829,4963,29,31,118,313,2478,2475
40,100,45,2,18,100,1700,841,5045,31,33,120,325,2537,2538
41,100,44,0,0,100,1741,857,5151,31,33,120,325,2609,2610
42,100,44,0,0,100,1782,874,5254,31,33,120,325,2679,2677
43,100,44,0,0,100,1823,891,5365,31,33,120,325,2737,2738
44,100,44,0,0,100,1865,904,5442,31,33,120,325,2803,2806
45,100,44,0,0,100,1906,921,5551,31,33,120,325,2870,2871
46,100,43,1,9,101,1947,933,5628,31,33,122,331,2925,2927
47,100,43,0,0,101,1989,949,5705,31,33,122,331,2981,2983
48,100,43,0,0,101,2030,960,5765,31,33,122,331,3050,3052
49,100,43,0,0,101,2072,977,5880,31,33,122,331,3126,3125
50,100,43,0,0,101,2113,984,5935,31,33,122,331,3189,3192
51,100,43,0,0,101,2154,1000,6041,31,33,122,331,3241,3243
52,100,43,0,0,101,2196,1009,6103,31,33,122,331,3308,3311
53,100,43,0,0,101,2237,1026,6223,31,33,122,331,3375,3377
54,100,43,0,0,101,2279,1042,6306,31,33,122,331,3424,3427
55,100,43,0,0,101,2320,1055,6376,31,33,122,331,3484,3486
56,100,43,0,0,101,2361,1069,6468,31,33,122,331,3546,3548
57,100,43,0,0,101,2403,1084,6550,31,33,124,343,3607,3610
58,100,41,20,132,111,2445,1127,6836,31,33,167,431,3674,3676
59,100,40,14,104,114,2486,1140,6935,31,33,173,448,3732,3735
60,100,40,12,96,114,2527,1145,6972,31,33,175,449,3795,3796
