num,tot_nodes,lf_nodes,unconn_nodes,stale_entries,tot_par_sw,elap_time,dao_sent,dao_rcvd,npdao_sent,npdao_rcvd,dco_sent,dco_rcvd,udp_sent,udp_rcvd
1,100,41,2,19,90,120,253,1419,0,0,66,237,151,149
2,100,41,2,19,90,160,268,1486,0,0,66,237,210,206
3,100,41,2,19,90,200,271,1499,0,0,66,237,275,275
4,100,41,4,35,91,240,286,1589,0,0,68,245,342,340
5,100,40,2,19,91,280,312,1726,0,0,68,245,386,382
6,100,40,2,19,91,320,314,1742,0,0,69,250,450,451
7,100,40,1,11,91,360,332,1900,0,0,69,250,512,513
8,100,40,0,11,91,401,349,2001,0,0,69,250,582,582
9,100,40,0,11,91,441,359,2078,0,0,69,250,637,639
10,100,40,0,11,92,481,375,2158,0,0,71,254,704,706
11,100,40,0,11,92,521,402,2302,0,0,71,254,765,768
12,100,40,0,11,92,562,427,2461,0,0,71,254,818,821
13,100,40,0,11,92,602,446,2587,0,0,71,254,882,883
14,100,40,0,0,92,642,455,2643,11,11,71,254,943,943
15,100,40,0,0,92,683,458,2672,11,11,71,254,1001,1003
16,100,40,0,0,92,723,464,2713,11,11,71,254,1066,1066
17,100,40,0,0,92,763,469,2740,11,11,71,254,1129,1129
18,100,40,0,0,92,804,481,2807,11,11,71,254,1182,1184
19,100,40,0,0,92,844,505,2962,11,11,71,254,1240,1241
20,100,40,0,0,92,885,537,3163,11,11,71,254,1292,1294
21,100,40,0,0,92,926,555,3256,11,11,71,254,1361,1361
22,100,40,0,0,92,966,574,3355,11,11,71,254,1426,1425
23,100,40,0,0,92,1007,582,3393,11,11,71,254,1490,1489
24,100,40,0,0,92,1048,586,3412,11,11,71,254,1539,1539
25,100,40,0,0,92,1089,589,3434,11,11,71,254,1611,1612
26,100,40,0,0,92,1129,599,3500,11,11,71,254,1671,1671
27,100,40,0,0,92,1170,618,3634,11,11,71,254,1729,1728
28,100,40,0,0,92,1211,636,3750,11,11,71,254,1796,1796
29,100,40,0,0,92,1252,659,3890,11,11,71,254,1860,1860
30,100,40,0,0,92,1293,671,3959,11,11,71,254,1912,1912
31,100,40,0,0,92,1334,681,4008,11,11,71,254,1978,1979
32,100,40,0,0,92,1375,686,4040,11,11,71,254,2049,2049
33,100,40,0,0,92,1416,691,4064,11,11,71,254,2106,2104
34,100,40,0,0,92,1458,698,4105,11,11,71,254,2169,2166
35,100,40,0,0,92,1499,720,4239,11,11,71,254,2225,2226
36,100,40,0,0,92,1540,739,4379,11,11,71,254,2300,2300
37,100,40,0,0,92,1581,759,4515,11,11,71,254,2365,2365
38,100,40,0,0,92,1622,773,4585,11,11,71,254,2422,2422
39,100,40,0,0,92,1663,787,4654,11,11,71,254,2486,2485
40,100,40,0,0,92,1704,792,4684,11,11,71,254,2543,2542
41,100,40,0,0,92,1745,798,4714,11,11,71,254,2603,2603
42,100,39,0,0,93,1787,810,4785,11,11,72,257,2665,2664
43,100,39,0,0,93,1828,822,4850,11,11,72,257,2722,2722
44,100,39,0,0,93,1869,850,5055,11,11,72,257,2782,2782
45,100,39,0,0,93,1911,872,5196,11,11,72,257,2839,2840
46,100,39,0,0,93,1952,883,5266,11,11,72,257,2897,2897
47,100,39,0,0,93,1993,903,5354,11,11,72,257,2961,2961
48,100,39,0,0,93,2035,912,5400,11,11,72,257,3017,3019
49,100,39,0,0,93,2076,924,5474,11,11,72,257,3081,3078
50,100,39,0,0,93,2117,933,5528,11,11,73,269,3146,3146
51,100,40,5,28,94,2159,948,5636,12,12,78,272,3215,3214
52,100,40,4,24,94,2201,963,5749,12,12,79,272,3286,3283
53,100,40,1,16,94,2242,975,5837,12,12,81,274,3349,3349
54,100,40,1,16,94,2284,988,5908,12,12,81,274,3410,3407
55,100,40,1,16,94,2326,1001,5971,12,12,81,274,3474,3473
56,100,40,1,16,96,2367,1017,6067,12,12,90,293,3534,3531
57,100,38,34,151,96,2409,1034,6150,12,12,94,299,3600,3596
58,100,38,29,131,96,2450,1045,6220,18,18,98,305,3667,3663
59,100,38,21,108,96,2492,1059,6325,20,20,108,316,3726,3724
60,100,38,11,79,96,2533,1072,6416,22,22,115,321,3794,3789
