num,tot_nodes,lf_nodes,unconn_nodes,stale_entries,tot_par_sw,elap_time,dao_sent,dao_rcvd,npdao_sent,npdao_rcvd,dco_sent,dco_rcvd,udp_sent,udp_rcvd
1,50,27,0,0,23,60,103,446,0,0,20,57,23,23
2,50,26,0,1,24,90,115,477,0,0,20,57,41,37
3,50,25,1,10,26,120,132,530,0,0,23,63,57,52
4,50,26,0,5,28,149,148,604,0,0,25,70,76,69
5,50,26,0,5,28,179,148,604,0,0,25,70,93,83
6,50,26,1,15,32,209,160,644,0,0,31,75,122,102
7,50,28,3,50,42,239,184,702,0,0,37,77,143,120
8,50,26,2,51,49,268,212,817,1,4,43,89,166,141
9,50,26,0,45,54,298,226,900,1,4,49,102,192,166
10,50,26,0,45,54,327,226,900,1,4,49,102,217,191
11,50,26,0,43,56,357,231,935,4,7,51,107,236,205
12,50,26,0,43,57,387,232,941,4,7,52,109,251,223
13,50,26,0,43,57,417,241,957,4,7,52,109,272,242
14,50,27,0,43,58,446,247,980,4,7,53,111,299,267
15,50,25,0,41,60,476,258,1032,4,7,56,119,320,287
16,50,25,0,41,60,506,267,1065,4,7,56,119,343,308
17,50,26,0,41,61,536,274,1103,4,7,58,127,361,328
18,50,26,0,41,61,565,278,1124,4,7,58,127,381,348
19,50,26,0,41,61,595,283,1152,4,7,58,127,404,370
20,50,26,0,38,61,625,285,1170,11,18,58,127,427,393
21,50,26,0,24,61,654,293,1213,21,24,58,127,445,412
22,50,26,0,24,61,684,297,1239,22,25,58,127,468,434
23,50,26,0,20,61,714,303,1258,25,28,58,127,492,459
24,50,26,0,11,61,743,306,1266,34,37,58,127,514,481
25,50,26,0,9,61,773,311,1287,36,39,58,127,539,506
26,50,26,0,9,61,803,321,1328,36,40,58,127,555,522
27,50,26,0,3,61,832,324,1348,43,46,58,127,572,539
28,50,26,0,1,61,862,336,1385,44,47,58,127,591,557
29,50,26,0,0,61,891,337,1390,45,48,58,127,615,581
30,50,26,0,0,61,921,340,1402,45,48,58,127,638,605
31,50,26,0,0,61,951,343,1420,45,48,58,127,663,629
32,50,26,0,0,61,980,349,1454,45,48,58,127,679,645
33,50,26,0,0,61,1010,355,1490,45,48,58,127,699,666
34,50,26,0,0,61,1039,356,1495,45,48,58,127,716,683
35,50,26,0,0,61,1069,359,1511,45,48,58,127,743,710
36,50,26,0,0,61,1098,361,1525,45,48,58,127,772,739
37,50,26,0,0,61,1128,370,1559,45,48,58,127,794,761
38,50,26,0,0,61,1158,377,1581,45,48,58,127,822,789
39,50,26,0,0,61,1187,384,1604,45,48,58,127,846,812
40,50,26,0,0,61,1217,389,1625,45,48,58,127,864,831
41,50,26,0,0,61,1247,392,1637,45,48,58,127,886,853
42,50,26,0,0,61,1277,394,1648,45,48,58,127,910,877
43,50,26,0,0,61,1307,403,1696,45,48,58,127,929,895
44,50,26,0,0,61,1336,407,1719,45,48,58,127,952,919
45,50,26,0,0,61,1366,412,1749,45,48,58,127,977,944
46,50,26,0,0,61,1396,413,1759,45,48,58,127,993,960
47,50,26,0,0,61,1425,418,1777,45,48,58,127,1011,978
48,50,26,0,0,61,1455,421,1791,45,48,58,127,1034,1001
49,50,26,0,0,61,1485,430,1816,45,48,58,127,1059,1026
50,50,26,0,0,61,1515,436,1839,45,48,58,127,1078,1044
51,50,26,0,0,61,1544,437,1840,45,48,58,127,1102,1069
52,50,26,0,0,61,1574,442,1863,45,48,58,127,1116,1083
53,50,26,0,0,61,1604,446,1881,45,48,58,127,1139,1106
54,50,26,0,0,61,1633,452,1911,45,48,58,127,1157,1122
55,50,26,0,0,61,1663,458,1943,45,48,58,127,1179,1146
56,50,26,0,0,61,1693,463,1971,45,48,58,127,1198,1164
57,50,26,0,0,61,1723,469,2006,45,48,58,127,1221,1188
58,50,26,0,0,61,1752,473,2022,45,48,58,127,1247,1213
59,50,26,0,0,61,1782,476,2029,45,48,58,127,1265,1232
60,50,26,0,0,61,1812,481,2044,45,48,58,127,1290,1256
