num,tot_nodes,lf_nodes,unconn_nodes,stale_entries,tot_par_sw,elap_time,dao_sent,dao_rcvd,npdao_sent,npdao_rcvd,dco_sent,dco_rcvd,udp_sent,udp_rcvd
1,50,25,0,0,24,61,144,612,0,0,15,42,23,23
2,50,25,0,0,24,90,154,650,0,0,15,42,44,43
3,50,25,0,0,24,120,162,671,0,0,15,42,65,62
4,50,26,8,49,34,150,183,767,2,1,29,57,87,80
5,50,25,6,39,34,179,191,807,2,1,29,57,108,100
6,50,23,6,39,37,209,196,830,2,1,34,67,132,120
7,50,23,5,43,39,239,206,871,2,1,37,72,154,138
8,50,23,6,52,41,269,219,935,2,1,47,94,176,156
9,50,23,0,25,44,298,231,1008,2,1,51,106,200,179
10,50,23,0,25,44,328,233,1020,2,1,51,106,223,202
11,50,23,0,25,44,358,236,1040,2,1,51,106,241,220
12,50,23,0,25,44,388,245,1090,2,1,51,106,265,243
13,50,23,0,25,44,417,255,1113,2,1,51,106,288,264
14,50,24,0,25,45,447,265,1147,2,1,52,110,309,284
15,50,25,1,35,48,477,274,1173,2,1,52,110,340,309
16,50,25,0,35,55,507,293,1265,2,1,60,117,359,328
17,50,25,0,35,55,536,297,1289,2,1,60,117,382,350
18,50,25,0,35,55,566,299,1299,2,1,60,119,406,372
19,50,24,0,35,56,596,304,1325,2,1,62,122,427,394
20,50,24,0,35,57,626,306,1337,2,1,62,122,448,414
21,50,24,0,22,57,656,308,1347,15,14,62,122,465,431
22,50,24,0,21,57,685,308,1347,16,15,62,122,489,454
23,50,24,0,21,57,715,316,1378,16,15,62,122,511,478
24,50,24,0,20,57,745,320,1391,18,17,62,122,533,500
25,50,24,0,13,57,775,326,1407,24,23,62,122,552,518
26,50,24,0,13,57,805,333,1438,24,23,62,122,575,541
27,50,24,0,12,57,834,341,1489,26,25,62,122,595,562
28,50,24,0,9,57,864,356,1556,28,27,62,122,616,583
29,50,24,0,7,57,894,360,1576,30,29,62,122,639,605
30,50,24,0,5,57,924,364,1590,32,31,62,122,658,625
31,50,24,0,2,57,953,369,1618,35,34,62,122,685,652
32,50,24,0,1,57,983,371,1623,36,35,62,122,705,672
33,50,24,0,1,57,1013,374,1636,36,35,62,122,728,693
34,50,24,0,1,57,1042,378,1658,36,35,62,122,750,717
35,50,24,0,1,57,1072,381,1671,37,36,62,122,773,739
36,50,24,0,0,57,1102,385,1688,37,36,62,122,793,760
37,50,24,0,0,57,1132,388,1704,37,36,62,122,810,777
38,50,24,0,0,57,1161,396,1748,37,36,62,122,834,801
39,50,24,0,0,57,1191,411,1810,37,36,62,122,857,824
40,50,24,0,0,57,1221,414,1826,37,36,62,122,884,848
41,50,24,0,0,57,1251,418,1840,37,36,62,122,904,870
42,50,24,0,0,57,1280,421,1854,37,36,62,122,921,888
43,50,24,0,0,57,1310,429,1901,37,36,62,122,938,904
44,50,24,0,0,57,1340,432,1909,37,36,62,122,958,924
45,50,24,0,0,57,1370,433,1915,37,36,62,122,981,948
46,50,24,0,0,57,1399,435,1925,37,36,62,122,1003,970
47,50,24,0,0,57,1429,441,1953,37,36,62,122,1019,986
48,50,24,0,0,57,1459,446,1980,37,36,62,122,1044,1011
49,50,24,0,0,57,1488,449,1987,37,36,62,122,1067,1035
50,50,24,0,0,57,1518,455,2011,37,36,62,122,1088,1055
51,50,23,0,0,58,1548,465,2056,37,36,63,127,1104,1072
52,50,23,0,0,58,1578,467,2066,37,36,63,127,1128,1095
53,50,23,0,0,58,1608,473,2092,37,36,63,127,1150,1118
54,50,23,0,0,58,1637,481,2131,37,36,63,127,1170,1138
55,50,23,0,0,58,1667,487,2157,37,36,63,127,1197,1165
56,50,23,0,0,58,1697,489,2166,37,36,63,127,1221,1189
57,50,23,0,0,58,1727,489,2166,37,36,63,127,1248,1216
58,50,23,0,0,58,1757,493,2189,37,36,63,127,1273,1240
59,50,23,0,0,58,1786,498,2213,37,36,63,127,1292,1260
60,50,23,0,0,58,1816,503,2235,37,36,63,127,1319,1287
