num,tot_nodes,lf_nodes,unconn_nodes,stale_entries,tot_par_sw,elap_time,dao_sent,dao_rcvd,npdao_sent,npdao_rcvd,dco_sent,dco_rcvd,udp_sent,udp_rcvd
1,50,27,0,24,28,60,152,662,28,111,0,0,21,21
2,50,27,0,4,28,90,158,678,49,129,0,0,42,39
3,50,27,0,12,29,119,169,719,49,129,0,0,63,60
4,50,27,0,14,30,149,186,776,50,129,0,0,80,74
5,50,27,0,16,31,179,187,782,51,129,0,0,98,90
6,50,27,1,22,32,208,192,794,52,129,0,0,116,101
7,50,29,13,85,40,238,213,889,60,133,0,0,140,120
8,50,28,6,81,46,268,244,977,66,135,0,0,167,140
9,50,26,6,93,54,297,265,1061,78,171,0,0,187,157
10,50,27,3,86,62,327,276,1108,86,178,0,0,206,175
11,50,28,2,86,64,356,282,1146,98,195,0,0,231,198
12,50,28,0,76,65,386,285,1158,103,198,0,0,250,218
13,50,28,0,76,68,416,293,1193,110,206,0,0,277,242
14,50,29,0,77,69,445,298,1210,111,211,0,0,296,257
15,50,27,0,86,75,475,315,1277,118,215,0,0,323,282
16,50,26,14,138,76,505,324,1314,121,224,0,0,341,301
17,50,26,12,132,76,535,335,1364,122,225,0,0,368,328
18,50,26,8,118,76,564,340,1393,127,230,0,0,395,355
19,50,26,6,114,76,594,345,1419,127,230,0,0,417,376
20,50,26,3,106,76,624,348,1438,131,234,0,0,442,401
21,50,26,2,71,76,653,349,1444,162,265,0,0,460,420
22,50,26,2,70,76,683,349,1444,163,266,0,0,482,442
23,50,26,2,70,76,713,356,1466,163,266,0,0,502,462
24,50,26,2,61,76,742,356,1466,174,277,0,0,522,482
25,50,26,2,57,76,772,361,1484,175,278,0,0,548,508
26,50,26,1,54,76,802,367,1508,176,279,0,0,570,530
27,50,26,0,52,76,831,374,1540,178,281,0,0,595,555
28,50,26,0,34,76,861,389,1604,197,300,0,0,611,571
29,50,26,0,28,76,891,396,1630,203,307,0,0,629,589
30,50,26,0,14,76,921,401,1656,216,319,0,0,650,608
31,50,26,0,6,76,951,407,1688,224,327,0,0,672,632
32,50,26,0,5,76,981,408,1694,225,328,0,0,692,650
33,50,26,0,5,76,1011,409,1701,225,328,0,0,711,671
34,50,26,0,4,76,1041,412,1713,226,329,0,0,740,699
35,50,26,0,0,76,1071,412,1713,230,333,0,0,756,716
36,50,26,0,0,76,1100,419,1739,230,333,0,0,780,739
37,50,26,0,0,76,1131,423,1760,230,333,0,0,795,755
38,50,26,0,0,76,1161,428,1779,230,333,0,0,820,780
39,50,26,0,0,76,1191,440,1830,230,333,0,0,844,804
40,50,26,0,0,76,1221,448,1861,230,333,0,0,865,825
41,50,26,0,0,76,1251,453,1891,230,333,0,0,892,852
42,50,26,0,0,76,1281,457,1909,230,333,0,0,918,877
43,50,26,0,0,76,1311,462,1938,230,333,0,0,937,897
44,50,26,0,0,76,1340,463,1943,230,333,0,0,956,916
45,50,26,0,0,76,1370,464,1948,230,333,0,0,974,934
46,50,26,0,0,76,1400,466,1960,230,333,0,0,995,955
47,50,26,0,0,76,1430,469,1966,230,333,0,0,1010,969
48,50,26,0,0,76,1459,474,1986,230,333,0,0,1032,992
49,50,26,0,0,76,1489,486,2038,230,333,0,0,1060,1019
50,50,26,0,0,76,1519,490,2059,230,333,0,0,1084,1044
51,50,26,0,0,76,1549,496,2082,230,333,0,0,1102,1062
52,50,26,0,0,76,1579,503,2111,230,333,0,0,1126,1085
53,50,26,0,0,76,1609,507,2136,230,333,0,0,1145,1105
54,50,26,0,0,76,1639,512,2158,230,333,0,0,1166,1126
55,50,26,0,0,76,1669,516,2179,230,333,0,0,1194,1154
56,50,26,0,0,76,1699,519,2191,230,333,0,0,1211,1171
57,50,26,0,0,76,1728,522,2204,230,333,0,0,1233,1193
58,50,26,0,0,76,1759,525,2216,230,333,0,0,1260,1220
59,50,26,0,0,76,1789,528,2226,230,333,0,0,1283,1243
60,50,26,0,0,76,1819,535,2258,230,333,0,0,1307,1267
